# started_utc=2025-11-04T11:32:27.651693Z
# rows=3
# cols=2
# threshold_init=30
# threshold_mode_init=global
t_iso,loop_idx,auto_mode,dn_state,profile,exposure_locked,exposure_ms,exposure_gain,threshold_mode,threshold_value,dark_cutoff,overall_dark,S00_dark,S01_dark,S10_dark,S11_dark,S20_dark,S21_dark,DAC_HF1,DAC_HF2,DAC_HS11,DAC_HS12,DAC_HS21,DAC_HS22,DAC_LF1,DAC_LF2,DAC_LS1,DAC_LS2
2025-11-04T11:32:43.973392Z,129,1,0,Classroom,1,8.0,,global,30,30,22,6,9,46,42,14,12,0,0,0,0,249,249,0,0,0,0
2025-11-04T11:32:44.098069Z,130,1,0,Classroom,1,8.0,,global,30,30,21,6,9,46,42,14,11,0,0,0,0,252,252,0,0,0,0
2025-11-04T11:32:44.229090Z,131,1,0,Classroom,1,8.0,,global,30,30,21,6,9,45,41,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:44.361501Z,132,1,0,Classroom,1,8.0,,global,30,30,21,6,9,46,42,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:44.492636Z,133,1,0,Classroom,1,8.0,,global,30,30,21,6,9,46,41,14,11,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:44.617402Z,134,1,0,Classroom,1,8.0,,global,30,30,21,7,9,46,41,14,11,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:44.741485Z,135,1,0,Classroom,1,8.0,,global,30,30,22,6,9,46,42,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:44.865633Z,136,1,0,Classroom,1,8.0,,global,30,30,22,6,9,46,41,14,11,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:44.988490Z,137,1,0,Classroom,1,8.0,,global,30,30,22,7,9,46,41,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:45.114056Z,138,1,0,Classroom,1,8.0,,global,30,30,21,6,9,45,42,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:45.245439Z,139,1,0,Classroom,1,8.0,,global,30,30,22,6,9,47,41,15,12,0,0,0,0,255,255,0,0,0,0
